Technique,Count,Percentage
obf_double_url_encode+obf_case_random+obf_whitespace_url_adv_obf_non_script_xss,21,0.09%
Double URL_full_bypass_non_script_xss,21,0.09%
Event Handler XSS (heuristic)_adv_obf_non_script_xss,21,0.09%
obf_url_encode+obf_case_random+obf_double_url_encode_adv_obf_full_bypass_non_script_xss,21,0.09%
obf_double_url_encode+obf_url_encode+obf_case_random_adv_obf_non_script_xss,21,0.09%
obf_double_url_encode+obf_case_random+obf_url_encode_full_bypass,21,0.09%
None XSS DOM-based_full_bypass,20,0.08%
Double URL Encode XSS (heuristic)_adv_obf_non_script_xss,20,0.08%
Whitespace_non_script_xss,20,0.08%
Triple URL ST_X Geometry Error_full_bypass,20,0.08%
obf_case_random+obf_url_encode+obf_double_url_encode_adv_obf_full_bypass_non_script_xss,20,0.08%
Triple URL Encode_adv_obf_full_bypass_non_script_xss,20,0.08%
obf_whitespace_url+obf_double_url_encode_non_script_xss,20,0.08%
None XSS DOM-based_adv_obf_non_script_xss,20,0.08%
Triple URL Advanced Error-Based SQLi_adv_obf,20,0.08%
obf_double_url_encode+obf_case_random_non_script_xss,20,0.08%
Double URL Encode_adv_obf_full_bypass_non_script_xss,20,0.08%
obf_whitespace_url+obf_case_random+obf_double_url_encode_full_bypass_non_script_xss,20,0.08%
obf_whitespace_url+obf_case_random+obf_double_url_encode_adv_obf_full_bypass_non_script_xss,20,0.08%
XSS Reflected (Generated)_non_script_xss,19,0.08%
Triple URL GEOMETRYCOLLECTION Error_full_bypass,19,0.08%
Triple URL XSS DOM-based_adv_obf_full_bypass_non_script_xss,19,0.08%
obf_case_random+obf_double_url_encode+obf_url_encode_non_script_xss,19,0.08%
Triple URL Encode XSS (heuristic)_adv_obf_full_bypass_non_script_xss,19,0.08%
XSS - Unclassified (manual refine)_adv_obf_full_bypass_non_script_xss,19,0.08%
Double URL Encode XSS (manual refine)_non_script_xss,19,0.08%
Triple URL Encode XSS (heuristic)_adv_obf_non_script_xss,19,0.08%
Triple URL Encode_adv_obf_non_script_xss,19,0.08%
obf_case_random+obf_double_url_encode_adv_obf_non_script_xss,19,0.08%
obf_case_random+obf_url_encode+obf_double_url_encode_full_bypass_non_script_xss,19,0.08%
obf_comment_sql_version+obf_double_url_encode+obf_case_random_adv_obf_full_bypass,19,0.08%
XSS - Unclassified (manual refine)_adv_obf_non_script_xss,19,0.08%
obf_whitespace_url+obf_url_encode+obf_double_url_encode_adv_obf_full_bypass_non_script_xss,18,0.07%
obf_case_random+obf_whitespace_url+obf_double_url_encode_adv_obf_full_bypass_non_script_xss,18,0.07%
obf_case_random+obf_whitespace_url+obf_double_url_encode_full_bypass_non_script_xss,18,0.07%
obf_case_random+obf_url_encode+obf_double_url_encode_adv_obf_non_script_xss,18,0.07%
Event Handler XSS (heuristic)_full_bypass,18,0.07%
obf_whitespace_url+obf_double_url_encode+obf_case_random_non_script_xss,18,0.07%
obf_url_encode+obf_double_url_encode+obf_case_random_non_script_xss,18,0.07%
obf_double_url_encode+obf_case_random_full_bypass_non_script_xss,18,0.07%
Event Handler XSS (heuristic),18,0.07%
obf_double_url_encode+obf_whitespace_url+obf_case_random_adv_obf_non_script_xss,18,0.07%
Triple URL XSS DOM-based_adv_obf_full_bypass,18,0.07%
obf_case_random+obf_double_url_encode+obf_url_encode_full_bypass_non_script_xss,18,0.07%
obf_double_url_encode+obf_case_random+obf_whitespace_url_full_bypass_non_script_xss,18,0.07%
Double URL Encode XSS (heuristic)_full_bypass_non_script_xss,17,0.07%
XSS - Unclassified (manual refine)_adv_obf_full_bypass,17,0.07%
obf_whitespace_url+obf_double_url_encode+obf_url_encode_non_script_xss,17,0.07%
Double URL EXTRACTVALUE Error-Based_full_bypass,17,0.07%
obf_case_random+obf_double_url_encode+obf_url_encode_adv_obf_full_bypass,17,0.07%
XSS - Unclassified (manual refine)_non_script_xss,17,0.07%
Event Handler XSS (heuristic)_adv_obf_full_bypass_non_script_xss,16,0.07%
obf_double_url_encode+obf_case_random+obf_url_encode_adv_obf_full_bypass_non_script_xss,16,0.07%
Triple URL XSS DOM-based_full_bypass,16,0.07%
obf_url_encode+obf_double_url_encode+obf_case_random_full_bypass_non_script_xss,16,0.07%
Double URL Encode XSS (manual refine)_full_bypass_non_script_xss,16,0.07%
obf_double_url_encode+obf_case_random+obf_whitespace_url_non_script_xss,16,0.07%
Double URL Encode XSS (manual refine)_full_bypass,16,0.07%
obf_whitespace_url+obf_double_url_encode+obf_case_random_full_bypass_non_script_xss,16,0.07%
obf_whitespace_url+obf_double_url_encode+obf_url_encode_adv_obf_non_script_xss,16,0.07%
Triple URL Encode_non_script_xss,16,0.07%
obf_whitespace_url+obf_double_url_encode_full_bypass_non_script_xss,16,0.07%
obf_double_url_encode+obf_case_random+obf_url_encode_non_script_xss,15,0.06%
obf_whitespace_url+obf_double_url_encode+obf_url_encode_full_bypass,15,0.06%
Double URL XSS DOM-based_adv_obf_full_bypass_non_script_xss,15,0.06%
obf_url_encode+obf_case_random+obf_double_url_encode_non_script_xss,15,0.06%
Double URL Encode_full_bypass_non_script_xss,15,0.06%
obf_double_url_encode+obf_case_random+obf_whitespace_url_adv_obf_full_bypass_non_script_xss,15,0.06%
Double URL Encode XSS (heuristic)_adv_obf_full_bypass,15,0.06%
obf_case_random+obf_double_url_encode+obf_whitespace_url_adv_obf_non_script_xss,14,0.06%
obf_url_encode+obf_double_url_encode+obf_case_random_adv_obf_non_script_xss,14,0.06%
XSS Keyword (heuristic)_adv_obf_full_bypass,14,0.06%
obf_whitespace_url+obf_double_url_encode+obf_url_encode_full_bypass_non_script_xss,14,0.06%
obf_whitespace_url+obf_case_random+obf_double_url_encode_non_script_xss,14,0.06%
obf_url_encode+obf_case_random+obf_double_url_encode_adv_obf_non_script_xss,14,0.06%
Whitespace_full_bypass,14,0.06%
obf_case_random+obf_double_url_encode+obf_whitespace_url_full_bypass_non_script_xss,14,0.06%
obf_case_random+obf_double_url_encode_non_script_xss,14,0.06%
obf_double_url_encode+obf_case_random+obf_url_encode_full_bypass_non_script_xss,14,0.06%
obf_case_random+obf_url_encode+obf_double_url_encode_adv_obf_full_bypass,14,0.06%
Unicode Homoglyph_adv_obf_full_bypass_non_script_xss,14,0.06%
Double URL Encode XSS (heuristic)_non_script_xss,13,0.05%
Double URL Encode XSS (manual refine)_adv_obf_full_bypass_non_script_xss,13,0.05%
obf_double_url_encode+obf_whitespace_url+obf_case_random_non_script_xss,13,0.05%
Whitespace_adv_obf_full_bypass,13,0.05%
obf_whitespace_url+obf_double_url_encode_adv_obf_full_bypass_non_script_xss,13,0.05%
Direct JS Call XSS (manual refine)_full_bypass_non_script_xss,13,0.05%
Whitespace_adv_obf_non_script_xss,12,0.05%
obf_double_url_encode+obf_whitespace_url+obf_case_random_adv_obf_full_bypass_non_script_xss,12,0.05%
Direct JS Call XSS (manual refine)_adv_obf_full_bypass,12,0.05%
obf_whitespace_url+obf_double_url_encode+obf_case_random_full_bypass,12,0.05%
obf_case_random+obf_double_url_encode+obf_url_encode_adv_obf_non_script_xss,12,0.05%
Double URL XSS DOM-based_adv_obf_full_bypass,11,0.05%
Triple URL_adv_obf_non_script_xss,11,0.05%
Whitespace_full_bypass_non_script_xss,11,0.05%
XSS Keyword (heuristic)_adv_obf_non_script_xss,11,0.05%
None XSS DOM-based_non_script_xss,10,0.04%
obf_whitespace_url+obf_url_encode+obf_double_url_encode_adv_obf_non_script_xss,10,0.04%
obf_url_encode+obf_double_url_encode+obf_case_random_adv_obf_full_bypass_non_script_xss,8,0.03%
Double URL NAME_CONST Error_full_bypass,7,0.03%
Double URL GEOMETRYCOLLECTION Error_full_bypass,6,0.03%
XSS - Data URI Injection (Manual Refine),6,0.03%
Obscure Event XSS (manual refine),5,0.02%
Double URL MULTIPOINT Error_full_bypass,5,0.02%
Double URL MULTILINESTRING Error_full_bypass,4,0.02%
XSS - PHP Short Tag Injection (Manual Refine),4,0.02%
Double URL ST_X Geometry Error_full_bypass,4,0.02%
XSS - Event Handler in HTML Comment (Manual Refine),4,0.02%
Double URL POLYGON Error_full_bypass,3,0.01%
XSS - CSS Injection (Manual Refine),3,0.01%
